rank,model_id,provider,pricing,context_length,vision,tool_calling,reasoning,streaming,benchmark_status,note
1,google/lyria-3-pro-preview,google,FREE,1048576,True,False,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
2,google/lyria-3-clip-preview,google,FREE,1048576,True,False,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
3,qwen/qwen3-coder:free,qwen,FREE,1048576,False,True,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
4,nvidia/nemotron-3-ultra-550b-a55b:free,nvidia,FREE,1000000,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
5,nvidia/nemotron-3-super-120b-a12b:free,nvidia,FREE,1000000,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
6,tencent/hy3:free,tencent,FREE,262144,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
7,poolside/laguna-xs-2.1:free,poolside,FREE,262144,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
8,poolside/laguna-m.1:free,poolside,FREE,262144,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
9,google/gemma-4-26b-a4b-it:free,google,FREE,262144,True,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
10,google/gemma-4-31b-it:free,google,FREE,262144,True,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
11,qwen/qwen3-next-80b-a3b-instruct:free,qwen,FREE,262144,False,True,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
12,cohere/north-mini-code:free,cohere,FREE,256000,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
13,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,nvidia,FREE,256000,True,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
14,nvidia/nemotron-3-nano-30b-a3b:free,nvidia,FREE,256000,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
15,openrouter/free,openrouter,FREE,200000,True,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
16,openai/gpt-oss-20b:free,openai,FREE,131072,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
17,meta-llama/llama-3.3-70b-instruct:free,meta-llama,FREE,131072,False,True,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
18,meta-llama/llama-3.2-3b-instruct:free,meta-llama,FREE,131072,False,False,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
19,nousresearch/hermes-3-llama-3.1-405b:free,nousresearch,FREE,131072,False,False,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
20,nvidia/nemotron-3.5-content-safety:free,nvidia,FREE,128000,True,False,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
21,nvidia/nemotron-nano-12b-v2-vl:free,nvidia,FREE,128000,True,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
22,nvidia/nemotron-nano-9b-v2:free,nvidia,FREE,128000,False,True,True,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
23,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,cognitivecomputations,FREE,32768,False,False,False,True,PENDING_EXECUTION,Benchmark execution blocked - no API credentials
